plot,blk,trt,plt.date,term.plt,herb.trt,herb.trt.POSTdemo,NoResidualAtPost,location,date,year,timing,weed.species,soy.hgt.cm,weed.demo.unit,above.canopy,greater.ten.cm,less.ten.cm,total.weed.den,std.weed den,eb.data,eb.herb,eb.plt.dt,ea.data,ea.herb,ea.plt.dt,lb.data,lb.herb,lb.plt.dt,la.data,la.herb,la.plt.dt,yield.data,rye.bio.m2,soybean.buac,lorenz,ob1,ob2,ob3,ob4,ob5,ob6,ob7,ob8,ob9,ob10,ob11,ob12,ob13,ob14,ob15,ob16
103,b1,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,4,4,24,32,28,no,,,no,,,no,,,no,,,yes,77.8,80.7,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
209,b2,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,5,1m2,4,4,4,12,34,no,,,no,,,no,,,no,,,yes,76,61,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
301,b3,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,4,4,16,24,28,no,,,no,,,no,,,no,,,yes,62,81,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
412,b4,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,16,16,30,no,,,no,,,no,,,no,,,yes,54.6,73.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
105,b1,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,16,16,28,no,,,no,,,no,,,no,,,yes,77.8,75.5,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
206,b2,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,0,0,34,no,,,no,,,no,,,no,,,yes,76,79.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
305,b3,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,12,12,28,no,,,no,,,no,,,no,,,yes,62,65,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
415,b4,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,4,4,30,no,,,no,,,no,,,no,,,yes,54.6,68.6,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
104,b1,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,8,8,28,no,,,no,,,no,,,no,,,yes,77.8,65.7,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
208,b2,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,8,8,34,no,,,no,,,no,,,no,,,yes,76,71.8,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
