plot,blk,trt,plt.date,herb.trt,herb.trt.POSTdemo,NoResidualAtPost,location,date,site.year,year,timing,weed.species,soy.hgt.cm,weed.demo.unit,above.canopy,greater.ten.cm,less.ten.cm,total.weed.den,weed.check,std.weed den,eb.data,eb.herb,eb.plt.dt,ea.data,ea.herb,ea.plt.dt,lb.data,lb.herb,lb.plt.dt,la.data,la.herb,la.plt.dt,yield.data,rye.bio.m2,soybean.kgha,lorenz,ob1,ob2,ob3,ob4,ob5,ob6,ob7,ob8,ob9,ob10,ob11,ob12,ob13,ob14,ob15,ob16
103,b1,1,standard (14 DPP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,4,4,24,32,28.5,28,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,yes,77.8,5427.075,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
209,b2,1,standard (14 DPP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,5,1m2,4,4,4,12,28.5,34,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,yes,76,4102.25,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
301,b3,1,standard (14 DPP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,4,4,16,24,28.5,28,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,yes,62,5447.25,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
412,b4,1,standard (14 DPP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,16,16,28.5,30,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,yes,54.6,4915.975,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
102,b1,4,standard (14 DPP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,4,4,16,24,28.5,28,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,yes,77.8,4761.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
207,b2,4,standard (14 DPP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,4,4,36,44,28.5,34,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,yes,76,4586.45,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
302,b3,4,standard (14 DPP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,8,8,16,32,28.5,28,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,yes,62,4714.225,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
411,b4,4,standard (14 DPP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,44,44,28.5,30,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,yes,54.6,4788.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
113,b1,11,standard (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,14,1m2,0,4,8,12,28.5,28,no,,,no,,,yes,utc,late,yes,utc,late,yes,62,4458.675,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201,b2,11,standard (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,24,24,28.5,34,no,,,no,,,yes,utc,late,yes,utc,late,yes,137,5037.025,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
306,b3,11,standard (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,4,4,28.5,28,no,,,no,,,yes,utc,late,yes,utc,late,yes,98,4989.95,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
406,b4,11,standard (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,8,8,28.5,30,no,,,no,,,yes,utc,late,yes,utc,late,yes,70.8,4640.25,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
